Example                                                    Steps  Period   Runtime  Solution
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       1    4.55   2347.80  (solution1)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       1    4.55   2279.55  (solution2)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       1    4.55   2279.55  (solution3)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       1    4.55   2206.75  (solution4)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       1    4.55   1724.45  (solution5)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       1    5.08   1620.52  (solution6)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       1    6.12   1817.64  (solution7)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       1    6.96   1907.04  (solution8)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       1    7.79   1986.45  (solution9)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       1    8.62   1827.44  (solution10)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       1    8.62   1827.44  (solution11)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       1   10.30   2070.30  (solution12)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       1   11.01   2190.99  (solution13)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       1   12.18   2302.02  (solution14)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       1   12.78   2313.18  (solution15)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       1   13.97   2472.69  (solution16)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       1   14.77   2525.67  (solution17)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       1   15.64   2611.88  (solution18)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       1   16.36   2617.60  (solution19)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       1   17.16   2745.60  (solution20)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       1   25.89   3754.05  (solution21)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       1   41.64   5288.28  (solution22)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       1   80.23   9146.22  (solution23)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       1  133.29  14928.48  (solution24)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       1  242.35  26658.50  (solution25)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       2    4.55   4691.05  (solution26)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       2    4.55   4554.55  (solution27)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       2    4.55   4554.55  (solution28)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       2    4.55   4408.95  (solution29)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       2    4.55   3444.35  (solution30)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       2    5.08   3235.96  (solution31)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       2    6.12   3629.16  (solution32)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       2    6.96   3807.12  (solution33)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       2    7.79   3965.11  (solution34)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       2    8.62   3646.26  (solution35)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       2    8.62   3646.26  (solution36)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       2   10.30   4130.30  (solution37)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       2   11.01   4370.97  (solution38)
